id_city,city,id_hotel,name_hotel,region,star_rating,num_reviews,hotel_features,price
3,Semarang,113,Hotel Dalu Semarang,"Pedurungan, Semarang",2.0,1743.0,"Jemputan stasiun kereta, Antar-jemput bandara, Aksesibel bagi penyandang disabilitas",438800
3,Semarang,115,Hotel Grasia,"Gajahmungkur, Semarang",3.0,3020.0,"Restoran show cooking, Jemputan stasiun kereta, Fasilitas bisnis, Antar-jemput bandara, Aksesibel bagi penyandang disabilitas",1100789
3,Semarang,121,Hotel Pantes Candi Simpang Lima,"Candisari, Semarang",1.0,1490.0,"Jemputan stasiun kereta, Kursi berjemur, Aksesibel bagi penyandang disabilitas, Check-out ekspress",652667
3,Semarang,52,Golden City Hotel and Convention Center,"Kota Lama, Semarang",4.0,708.0,"Antar-jemput bandara, Pusat kebugaran, Bar",1399000
4,Surabaya,166,Prime Royal Boutique Hotel Surabaya,"Sawahan, Surabaya",3.5,5167.0,"Bayar saat Check-in, Check-out ekspress",463332
4,Surabaya,100,Hotel 88 Embong Kenongo (Kayoon),"Genteng, Surabaya",2.0,8615.0,Aksesibel bagi penyandang disabilitas,372000
4,Surabaya,101,Hotel 88 Embong Malang,"Tegalsari, Surabaya",3.0,6898.0,Sewa mobil,516667
4,Surabaya,234,Zest Hotel Jemursari,"Tenggilis Mejoyo, Surabaya",2.0,10975.0,"Bayar saat Check-in, Aksesibel bagi penyandang disabilitas",466666
4,Surabaya,157,POP! Hotel Diponegoro Surabaya,"Wonokromo, Surabaya",2.0,12272.0,Aksesibel bagi penyandang disabilitas,388667
4,Surabaya,159,POP! Hotel Stasiun Kota Surabaya,"Pabean Cantikan, Surabaya",2.0,8040.0,"Layanan pijat, Aksesibel bagi penyandang disabilitas",340960
4,Surabaya,173,Royal Tulip Darmo Surabaya,"Tegalsari, Surabaya",5.0,258.0,Pusat kebugaran,1293925
4,Surabaya,81,HARRIS Hotel & Conventions Bundaran Satelit Surabaya,"Sukomanunggal, Surabaya",4.0,1554.0,"Pengering pakaian, Area main anak, Layanan pijat, Pusat kebugaran, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Spa, Pusat kebugaran",795333
4,Surabaya,117,Hotel Gunawangsa MERR,"Rungkut, Surabaya",3.0,13560.0,"Pusat kebugaran, Aksesibel bagi penyandang disabilitas",714667
4,Surabaya,153,Neo+ Waru Sidoarjo by ASTON,"Waru, Surabaya",3.0,3490.0,"Layanan pijat, Bar",530400
4,Surabaya,192,Surabaya Suites Hotel Powered by Archipelago,"Genteng, Surabaya",4.0,8509.0,"Jacuzzi, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Sauna, Spa, Pusat kebugaran, Bar",1012300
