id_city,city,id_hotel,name_hotel,region,star_rating,num_reviews,hotel_features,price,matched_name,displayName,latitude,longitude
2,Jakarta,142,Mandarin Oriental Jakarta,"Thamrin, Jakarta",5.0,1140.0,"Winery, Pusat kebugaran, Fasilitas bisnis, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran, Bar",8518400,Mandarin Oriental Jakarta,Mandarin Oriental Jakarta,-6.1961069,106.82364080000002
2,Jakarta,9,Aloft Jakarta Wahid Hasyim,"Kebon Sirih, Jakarta",4.0,1002.0,"Limosin/mobil, Pusat kebugaran, Bilyar, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",1863400,Aloft Jakarta Wahid Hasyim,Aloft Jakarta Wahid Hasyim,-6.186723,106.827273
2,Jakarta,23,Ashley Tanah Abang,"Tanah Abang, Jakarta",0.0,275.0,"Pusat kebugaran, Antar-jemput bandara, Pusat kebugaran",1940888,Ashley Tanah Abang,Ashley Tanah Abang,-6.186250433648075,106.81736481779473
2,Jakarta,84,Hariston Hotel & Suites,"Pluit, Jakarta",4.0,4297.0,Bar,1428500,Hariston Hotel & Suites,Hariston Hotel & Suites,-6.137193,106.787725
2,Jakarta,220,The St. Regis Jakarta,"Kuningan, Jakarta",5.0,2.0,"Tenda di tepi kolam, Paket proposal romantis, Bar di kolam renang, Payung pantai, Spa, Pusat kebugaran, Bar, OTHER",8772500,The St. Regis Jakarta,The St. Regis Jakarta,-6.206046,106.827499
2,Jakarta,19,Arimbi Pejaten Suites,"Ragunan, Jakarta",3.0,2234.0,"Bayar saat Check-in, Pusat kebugaran, Pusat kebugaran",437000,Arimbi Pejaten Suites,Arimbi Pejaten Suites,-6.277947,106.826923
2,Jakarta,73,Grand Tjokro Jakarta,"Tanjung Duren, Jakarta",4.0,7868.0,"Sewa mobil, Pusat kebugaran, Spa, Bar",1083333,Grand Tjokro Jakarta,Grand Tjokro Jakarta,-6.165725,106.78167
2,Jakarta,222,The Sultan Hotel & Residence Jakarta,"Senayan, Jakarta",5.0,7247.0,"Bayar saat Check-in, Restoran show cooking, Winery, Dapur kecil, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",2391767,The Luxton Bandung,The Luxton Bandung,-6.903839,107.611357
2,Jakarta,183,Shangri-La Jakarta,"Karet Tengsin, Jakarta",5.0,2262.0,"Akses ke water park, Toko/pusat belanja, Lapangan tennis outdoor, Bar di kolam renang, Payung pantai, Pusat kebugaran, Bar, OTHER",5320178,Shangri-La Jakarta,Shangri-La Jakarta,-6.202312,106.818753
2,Jakarta,172,Royal Kuningan Hotel,"Rasuna Said, Jakarta",4.0,6678.0,"Aksesibel bagi penyandang disabilitas, Check-out ekspress",3078126,Royal Kuningan Hotel,Royal Kuningan Hotel,-6.206681,106.830269
